measuring real clips, no labels used
  178 real frames in 12 s
I0914 23:34:03.119805 124370812436608 xla_bridge.py:836] Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
W0914 23:34:03.120157 124370812436608 xla_bridge.py:878] An NVIDIA GPU may be present on this machine, but a CUDA-enabled jaxlib is not installed. Falling back to cpu.
  defaults     axis=defaults        distance= 0.711  (57 s)
  L_20_30      axis=worm_length     distance= 0.784  (9 s)
  L_25_35      axis=worm_length     distance= 0.752  (6 s)
  L_30_45      axis=defaults        distance= 0.711  (7 s)
  L_35_55      axis=worm_length     distance= 0.679  (8 s)
  R_040        axis=body_radius     distance= 0.838  (6 s)
  R_060        axis=body_radius     distance= 0.838  (6 s)
  R_080        axis=defaults        distance= 0.711  (6 s)
  R_120        axis=body_radius     distance= 0.604  (7 s)
  R_160        axis=body_radius     distance= 0.571  (10 s)
  alpha_repo   axis=defaults        distance= 0.711  (6 s)
  alpha_tight  axis=drag_anisotropy distance= 0.720  (7 s)
  alpha_wide   axis=drag_anisotropy distance= 0.717  (6 s)
  noise_000    axis=sensor_noise    distance= 1.525  (7 s)
  noise_001    axis=defaults        distance= 0.711  (10 s)
  noise_005    axis=sensor_noise    distance= 2.030  (7 s)
